INFO 2025-09-22 17:06:51,305 autoreload 23204 28004 Watching for file changes with StatReloader
INFO 2025-09-22 17:08:06,498 basehttp 23572 11328 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:08:06,504 basehttp 23572 20440 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:09:08,774 basehttp 23572 29060 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:09:09,064 basehttp 23572 29060 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:09:09,072 basehttp 23572 3760 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:09:09,124 basehttp 23572 29060 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:09:09,154 basehttp 23572 3760 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:10:58,496 basehttp 23572 15408 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:10:58,548 basehttp 23572 15408 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:10:58,595 basehttp 23572 15408 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:10:58,643 basehttp 23572 15408 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:10:58,659 basehttp 23572 15408 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:11:03,948 basehttp 23572 15408 "OPTIONS /api/projects/ HTTP/1.1" 200 0
INFO 2025-09-22 17:11:03,993 basehttp 23572 15408 "GET /api/projects/ HTTP/1.1" 200 1144
INFO 2025-09-22 17:11:55,743 basehttp 23572 15408 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:11:55,981 basehttp 23572 22196 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:11:55,986 basehttp 23572 15408 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:11:55,986 basehttp 23572 21308 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:11:56,139 basehttp 23572 14144 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:12:11,672 basehttp 23572 14144 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:12:11,801 basehttp 23572 22196 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:12:11,810 basehttp 23572 15408 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:12:11,812 basehttp 23572 14144 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:12:11,855 basehttp 23572 21308 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:13:51,032 basehttp 23572 23636 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:13:51,880 basehttp 23572 9176 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:13:51,882 basehttp 23572 23636 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:13:51,909 basehttp 23572 9176 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:13:51,915 basehttp 23572 23636 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:15:02,747 basehttp 23572 5172 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:15:03,091 basehttp 23572 5172 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:15:03,117 basehttp 23572 5172 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:15:03,257 basehttp 23572 5172 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:15:03,669 basehttp 23572 5172 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:15:18,554 basehttp 23572 20008 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:15:18,618 basehttp 23572 20008 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:15:18,663 basehttp 23572 20008 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:15:18,728 basehttp 23572 20008 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:15:18,762 basehttp 23572 20008 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:15:35,934 basehttp 23572 16832 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:15:36,036 basehttp 23572 16832 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:15:36,131 basehttp 23572 16832 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:15:36,338 basehttp 23572 16832 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:15:36,346 basehttp 23572 28380 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:18:17,400 basehttp 23572 18492 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:18:17,463 basehttp 23572 18492 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:18:17,505 basehttp 23572 18492 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:18:17,543 basehttp 23572 18492 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:18:17,573 basehttp 23572 18492 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:18:36,338 basehttp 23572 18492 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:18:37,416 basehttp 23572 18492 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:18:37,416 basehttp 23572 29152 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:18:37,424 basehttp 23572 22244 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:18:37,461 basehttp 23572 22244 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:18:38,643 basehttp 23572 22244 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:18:38,836 basehttp 23572 29152 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:18:38,836 basehttp 23572 1476 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:18:38,840 basehttp 23572 22244 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:18:38,841 basehttp 23572 18492 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:18:54,389 basehttp 23572 5124 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:18:54,467 basehttp 23572 5124 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:18:54,506 basehttp 23572 5124 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:18:54,529 basehttp 23572 5124 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:18:54,556 basehttp 23572 5124 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:19:04,282 basehttp 23572 5124 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:19:04,501 basehttp 23572 4916 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:19:04,536 basehttp 23572 12072 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:19:04,572 basehttp 23572 5124 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:19:04,595 basehttp 23572 28208 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
